"symbol","primaryIdentifier","description"
"ABF","Zm00032ab151150, Zm00019ab139180","ABA response element binding factor (Fragment)"
"ADI1","Zm00034ab143810","1"
"ATP1","Zm00023ab145450","ATP synthase subunit alpha"
"ATP6","Zm00026ab145120","ATP synthase subunit a"
"ATPE","Zm00041ab141510","ATP synthase epsilon chain"
"BGAL10","Zm00035ab150500, Zm00038ab148820","Beta-galactosidase 3"
"CLPP","Zm00041ab141460","ATP-dependent Clp protease proteolytic subunit"
"CNOT11","Zm00020ab139860","CCR4-NOT transcription complex subunit 11"
"COB","Zm00030ab144270, Zm00026ab145140","Apocytochrome b"
"COX3","Zm00026ab145160","Cytochrome c oxidase subunit 3"
"DCL3A","Zm00033ab152030, Zm00035ab148270, Zm00036ab148190","Endoribonuclease Dicer a, Endoribonuclease Dicer 3a, Endoribonuclease Dicer homolog 3a"
"EIF4E","Zm00018ab142080, Zm00001eb137550, Zm00031ab142510, Zm00033ab145070, Zm00026ab138020, Zm00028ab140670, Zm00037ab138090, Zm00042ab141920, Zm00021ab138550, Zm00036ab141480, Zm00030ab137520, Zm00027ab139290, Zm00035ab142080, Zm00022ab138940, Zm00020ab139010, Zm00023ab141490, Zm00034ab146590, Zm00025ab142400, Zm00032ab141580, Zm00041ab143200, Zm00029ab142460, Zm00038ab140380, Zm00019ab131100, Zm00024ab140150, Zm00018ab144540, Zm00001eb139930, Zm00033ab147680, Zm00037ab140510, Zm00031ab144790, Zm00026ab140420, Zm00040ab149810, Zm00021ab140940, Zm00042ab144430, Zm00036ab143970, Zm00027ab141690, Zm00028ab143200, Zm00030ab140040, Zm00035ab144430, Zm00023ab143960, Zm00034ab149150, Zm00020ab141270, Zm00022ab141410, Zm00032ab143890, Zm00025ab144870, Zm00041ab145730, Zm00019ab133230, Zm00038ab142750, Zm00024ab142500, Zm00029ab144940","mRNA cap-binding protein"
"FRK1","Zm00036ab149130","Fructokinase 1"
"FST-2","Zm00027ab142980, Zm00042ab145750, Zm00020ab142620, Zm00019ab134350, Zm00024ab143940, Zm00024ab143950","Sulfotransferase"
"ICE2","Zm00033ab150450, Zm00029ab147590","Inducer of CBF expression 2 (Fragment)"
"LSM3","Zm00034ab154340, Zm00018ab151320, Zm00033ab155020, Zm00027ab148420, Zm00035ab151220, Zm00028ab149990, Zm00039ab148150, Zm00037ab147400, Zm00021ab148060, Zm00036ab150720, Zm00042ab151280, Zm00030ab146490, Zm00031ab151980, Zm00001eb146730, Zm00025ab152070, Zm00038ab149410, Zm00023ab150670, Zm00022ab148090, Zm00024ab149240, Zm00041ab152740, Zm00032ab150620, Zm00019ab138690, Zm00026ab147530, Zm00029ab151940","U6 snRNA-associated Sm-like protein LSm3"
"MCM7","Zm00018ab141520, Zm00001eb137000, Zm00031ab141950, Zm00033ab144550, Zm00028ab140170, Zm00026ab137440, Zm00027ab138600, Zm00042ab141290, Zm00021ab138050, Zm00030ab137080, Zm00037ab137620, Zm00036ab140930, Zm00039ab138620, Zm00035ab141560, Zm00040ab146850, Zm00020ab138440, Zm00023ab140890, Zm00022ab138420, Zm00034ab146010, Zm00025ab141900, Zm00032ab141000, Zm00041ab142700, Zm00019ab130650, Zm00029ab141810, Zm00024ab139530, Zm00038ab139810","DNA replication licensing factor MCM7"
