primaryIdentifier,symbol,name,description,chr,start,end,n_go,go_terms
Zm00034ab143280,,,Translation initiation factor IF-3,chr3,112554322,112560259,5,GO:0003743 | translation initiation factor activity | molecular_function; GO:0005737 | cytoplasm | cellular_component; GO:0006413 | translational initiation | biological_process; GO:0032790 | ribosome disassembly | biological_process; GO:0043022 | ribosome binding | molecular_function
Zm00029ab139020,,,Malate dehydrogenase,chr3,112562796,112568344,7,GO:0005975 | carbohydrate metabolic process | biological_process; GO:0006099 | tricarboxylic acid cycle | biological_process; GO:0006108 | malate metabolic process | biological_process; GO:0009507 | chloroplast | cellular_component; GO:0009514 | glyoxysome | cellular_component; GO:0030060 | L-malate dehydrogenase activity | molecular_function; GO:0046487 | glyoxylate metabolic process | biological_process
Zm00023ab138120,,,,chr3,112572310,112573716,4,GO:0003677 | DNA binding | molecular_function; GO:0003899 | DNA-directed 5'-3' RNA polymerase activity | molecular_function; GO:0006390 | mitochondrial transcription | biological_process; GO:0034245 | mitochondrial DNA-directed RNA polymerase complex | cellular_component
Zm00030ab134710,,,Long chain base biosynthesis protein 2a,chr3,112588033,112589830,5,GO:0004758 | serine C-palmitoyltransferase activity | molecular_function; GO:0005789 | endoplasmic reticulum membrane | cellular_component; GO:0006665 | sphingolipid metabolic process | biological_process; GO:0009058 | biosynthetic process | biological_process; GO:0030170 | pyridoxal phosphate binding | molecular_function
Zm00032ab138380,,,,chr3,112593639,112597015,1,GO:0005618 | cell wall | cellular_component
Zm00037ab134950,,,Ubiquitin carboxyl-terminal hydrolase,chr3,112599238,112608241,4,GO:0004843 | cysteine-type deubiquitinase activity | molecular_function; GO:0006511 | ubiquitin-dependent protein catabolic process | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016579 | protein deubiquitination | biological_process
Zm00028ab137680,,,Serine/threonine-protein phosphatase,chr3,112608725,112619225,6,GO:0005634 | nucleus | cellular_component; GO:0006470 | protein dephosphorylation | biological_process; GO:0009742 | brassinosteroid mediated signaling pathway | biological_process; GO:0046872 | metal ion binding | molecular_function; GO:0106306 |  | ; GO:0106307 |  | 
Zm00027ab136040,LOC542068,,Putative methyl-CpG-binding domain-containing protein 11-like,chr3,112613954,112619666,2,GO:0003677 | DNA binding | molecular_function; GO:0005634 | nucleus | cellular_component
Zm00027ab136050,,,RING-H2 finger protein ATL70,chr3,112619723,112620379,9,GO:0005768 | endosome | cellular_component; GO:0005802 | trans-Golgi network | cellular_component; GO:0006511 | ubiquitin-dependent protein catabolic process | biological_process; GO:0006623 | protein targeting to vacuole | biological_process; GO:0006896 | Golgi to vacuole transport | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016567 | protein ubiquitination | biological_process; GO:0017119 | Golgi transport complex | cellular_component; GO:0061630 | ubiquitin protein ligase activity | molecular_function
Zm00028ab137690,,,K( ) efflux antiporter 3,chr3,112620254,112626306,10,GO:0006813 | potassium ion transport | biological_process; GO:0009535 | chloroplast thylakoid membrane | cellular_component; GO:0009643 | photosynthetic acclimation | biological_process; GO:0009658 | chloroplast organization | biological_process; GO:0009941 | chloroplast envelope | cellular_component; GO:0015299 | solute:proton antiporter activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0033743 | peptide-methionine (R)-S-oxide reductase activity | molecular_function; GO:1902600 | proton transmembrane transport | biological_process; GO:1905157 | positive regulation of photosynthesis | biological_process
